INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2021,1,1.8,,,1,3,5,10,43,30,7,1,,,,,,,,,,,
2021,4,1.9,,,,0,5,10,40,35,10,,,,,,,,,,,,
2021,6,1.9,,,,,,20,30,40,5,5,,,,,,,,,,,
2021,7,1.8875476526,,,,,,,,,,,,,,,,,,,,,
2021,14,1.5,0,0,0,0,0,57,43,0,0,0,0,0,,,,,,,,,
2021,15,1.9,,,,,5,15,40,25,10,5,,,,,,,,,,,
2021,16,2,1,2,4,5,8,10,19,23,18,6,3,1,,,,,,,,,
2021,20,1.9,,,,,10,15,40,25,10,,,,,,,,,,,,
2021,22,2.1,,,,,,10,20,60,10,,,,,,,,,,,,
2021,23,1.9,,,,,,,51,49,,,,,,,,,,,,,
2021,24,1.9738369879,,,1,2,4,18,22,30,14,6,2,1,,,,,,,,,
2021,26,1.9,,,,5,5,15,30,25,15,5,,,,,,,,,,,
2021,29,2.1,0,.5,.5,.5,1,4.5,12,70,5,4.5,1.5,0,,,,,,,,,
2021,30,1.932,,,,,,,50,50,,,,,,,,,,,,,
2021,32,2,0,.0000001231,.0000813834,.0142267693,.6840606213,9.1769149836,35.3773968545,40.0644203202,13.360403568,1.2874152551,.034822352,.0002577695,,,,,,,,,
2021,37,2,,,,,,2,41,52,5,,,,,,,,,,,,
2021,39,1.9,,,,,,5,40,40,15,,,,,,,,,,,,
2021,41,1.9,,,,,,,50,50,,,,,,,,,,,,,
2021,42,1.5,,,,,,40,50,10,,,,,,,,,,,,,
2021,45,1.87,,,,,,10,60,20,10,,,,,,,,,,,,
2021,47,1.8,,,,,5,20,35,25,10,5,,,,,,,,,,,
2021,48,1.8,,,,,,5,90,5,0,,,,,,,,,,,,
2021,49,1.94,,,,,,,,,,,,,,,,,,,,,
2021,52,2.1,0,0,0,0,1,4,30,49,15,1,0,0,,,,,,,,,
2021,54,,,,,,10,50,30,10,,,,,,,,,,,,,
2021,56,2.1,,,,0,0,0,30,60,10,,,,,,,,,,,,
2021,61,1.9,,,,,,20,40,25,15,,,,,,,,,,,,
2021,65,1.7,,,,,,10,70,20,,,,,,,,,,,,,
2021,73,1.7,,,,,,20,60,20,,,,,,,,,,,,,
2021,80,1.9,0,0,0,1.1627906977,9.1966173362,21.6701902748,29.2811839324,19.8731501057,12.3678646934,4.4397463002,1.9027484144,.1057082452,,,,,,,,,
2021,82,2,,,,,,,,,,,,,,,,,,,,,
