INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2023,1,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,98,,
2023,6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,3,97,,
2023,7,5.4,,,,,,,,,,,,,,,,
2023,8,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,14,5,0,0,0,0,0,0,0,0,0,0,0,0,53,47,,
2023,15,5.6,0,0,0,0,0,0,0,0,0,0,0,10,20,70,,
2023,16,5.6,0,0,0,0,0,0,0,0,0,1,3,10,36,50,,
2023,20,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,23,5.5,0,0,0,0,0,0,0,0,0,0,0,0,5,95,,
2023,24,5.55295505,0,0,0,0,0,0,0,0,5,5,15,20,25,30,,
2023,26,5.6,0,0,0,0,0,0,0,0,0,0,0,0,10,90,,
2023,29,5.6,0,0,0,0,0,0,0,0,0,0.25,1,2,3.25,93.5,,
2023,30,5.47432364,,,,,,,,,,,,,,,,
2023,32,5.6,0,0,0,0,0,0,0,0,0,0,2e-08,0.00071015,0.70356632,99.29572351,,
2023,33,5.5,0,0,0,0,0,0,0,0,0,0,0,0,10,90,,
2023,37,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,38,5.6577,0,0,0,0,0,0,0,0,0,0,0,0,1,99,,
2023,39,5.62074854,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,41,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,42,,0,0,0,0,0,0,0,0,0,0,0,0,10,90,,
2023,45,5.34677281,0,0,0,0,0,0,0,0,0,0,0,0,10,90,,
2023,47,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,48,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,49,5.6,,,,,,,,,,,,,,,,
2023,54,,0,0,0,0,0,0,0,0,0,20,20,20,20,20,,
2023,56,5.6,0,0,0,0,0,0,0,0,0,0,0,5,20,75,,
2023,61,5.5,0,0,0,0,0,0,0,0,0,0,0,0,15,85,,
2023,63,5.9,0,0,0,0,0,0,0,0,0,0,0,0,3,97,,
2023,65,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,68,5.6,,,,,,,,,,,,,,,,
