INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2025,1,2,0,0,0,0,0,25,50,25,0,0,0,0,0,,,
2025,2,2.1,0,0,0,0,0,15,50,35,0,0,0,0,0,,,
2025,5,2,0,0,0,0,0,5,85,10,0,0,0,0,0,,,
2025,6,2,0,0,0,0,5,25,45,20,5,0,0,0,0,,,
2025,7,2.1,,,,,,,,,,,,,,,,
2025,8,2.1,0,0,0,0,0,10,60,30,0,0,0,0,0,,,
2025,14,2.2,0,0,0,0,0,1,54,45,0,0,0,0,0,,,
2025,15,2,0,0,0,5,10,20,25,25,10,5,0,0,0,,,
2025,16,2,2,2,4,5,11,15,17,15,11,8,5,3,2,,,
2025,20,2.1,0,0,0,0,5,20,40,25,10,0,0,0,0,,,
2025,23,2.1,0,0,0,1,3,10,50,25,10,1,0,0,0,,,
2025,24,2.0696147,0,0,3,5,12,16,24,18,11,5,4,2,0,,,
2025,26,1.9,0,0,2,5,10,20,30,25,6,2,0,0,0,,,
2025,29,2.2,0,0.5,0.75,2.5,8,20,24,19,15,5.5,2.5,1.25,1,,,
2025,30,2,,,,,,,,,,,,,,,,
2025,32,2.06506577,0.00254109,0.03864351,0.3762888,2.25980621,8.38188429,19.22374542,27.28398744,23.9720289,13.03681735,4.38577546,0.91178208,0.11698618,0.00971326,,,
2025,33,2.2,0,0,0.5,2,5,11,16,20,20,16,9.5,0,0,,,
2025,37,2.1,0,0,0,0,0,10,73,15,2,0,0,0,0,,,
2025,38,2.06,0,0,0,0,0,10,80,10,0,0,0,0,0,,,
2025,39,2.01625147,0,0,0,0,0,25,55,20,0,0,0,0,0,,,
2025,41,2.2,0,0,0,0,0,5,55,40,0,0,0,0,0,,,
2025,45,1.90370429,0,0,0,0,0,45,50,5,0,0,0,0,0,,,
2025,47,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2025,48,2,0,0,0,0,0,0,95,5,0,0,0,0,0,,,
2025,49,2.1,,,,,,,,,,,,,,,,
2025,54,1.85,0,0,0,0,0,40,50,10,0,0,0,0,0,,,
2025,56,2.05,0,0,0,0,0,10,80,10,0,0,0,0,0,,,
2025,59,2,0,0,0,0,0,20,60,20,0,0,0,0,0,,,
2025,80,2.06,0,0,0,0,0,15.57788945,55.9798995,27.43718593,1.00502513,0,0,0,0,,,
2025,82,2.1,0.05002501,0.15007504,0.20010005,0.50025013,2.50125063,12.50625313,55.02751376,25.01250625,2.50125063,1.00050025,0.4002001,0.10005003,0.05002501,,,
2025,85,2.0276295,0,0,1.6e-07,0.00102764,0.4759347,17.26010797,59.33538104,22.12532338,0.79992012,0.00230452,4.7e-07,0,0,,,
2025,88,2.2,0,0,0.5,2.89063189,8.84638711,16.49095456,15.1943046,35.37705131,14.19857589,4.75980383,1.24229081,0.5,0,,,
2025,89,2,0,0,2.5,5,7.5,15,40,15,7.5,5,2.5,0,0,,,
2025,91,2.3,0,0,0,0,0,10,35,40,15,0,0,0,0,,,
2025,95,2.11602318,0.00357152,0.11887099,0.75480188,3.2417484,9.42611229,18.54320496,24.68258868,22.23055634,13.54764085,5.58638337,1.55866045,0.29425646,0.01160382,,,
2025,97,1.8,,,,,,,,,,,,,,,,
2025,98,2,0,0,0,0,5,10,50,20,10,5,0,0,0,,,
2025,99,2.2,0,0,0,0,0,0,60,40,0,0,0,0,0,,,
2025,102,2,0,0,0,0,0,25,45,30,0,0,0,0,0,,,
2025,103,1.9,,,,,,,,,,,,,,,,
2025,105,2.1,,,,,,,,,,,,,,,,
2025,107,1.99927682,0,0,0,6.548e-05,0.18541242,16.53127052,66.70635166,16.39471165,0.18212462,6.366e-05,0,0,0,,,
2025,109,2.1,0,0,0,0,0,5,90,5,0,0,0,0,0,,,
2025,110,2.12090017,0,0,0,0,0,0.00194006,78.02902647,21.96903271,7.5e-07,0,0,0,0,,,
2025,114,2,,,,,,,,,,,,,,,,
2025,115,2.12700946,1.73386962,4.33362713,6.0109195,7.87751764,9.67037403,11.0682781,11.78348018,11.65782516,10.71960104,9.17319065,7.326696,5.49254539,3.15207556,,,
2025,117,1.9712589,,,,,,,,,,,,,,,,
2025,118,2,,,,,,,,,,,,,,,,
2025,121,1.95648598,0,0,0,1,5,20,38,25,10,1,0,0,0,,,
2025,127,1.9,0,0,0,0,0,10,80,10,0,0,0,0,0,,,
2025,128,2,0,0,0,0,0,10,75,13,2,0,0,0,0,,,
2025,135,2.1,0,0,0,2.5,7.5,20,30,22.5,10,7.5,0,0,0,,,
2025,137,1.96,0.08997301,0.13995801,0.79976007,3.09907028,5.99820054,27.99160252,32.99010297,17.59472158,5.99820054,1.99940018,1.99940018,0.99970009,0.29991003,,,
2026,1,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2026,2,1.8,0,0,0,0,15,25,45,15,0,0,0,0,0,,,
2026,5,1.7,0,0,0,5,20,35,25,10,5,0,0,0,0,,,
2026,6,1.9,0,0,0,5,10,25,35,20,5,0,0,0,0,,,
2026,7,1.9,,,,,,,,,,,,,,,,
2026,8,1.8,0,0,0,0,10,30,40,15,5,0,0,0,0,,,
2026,14,2.4,0,0,1,3,6,13,20,21,18,10,5,2,1,,,
2026,15,1.8,0,0,5,5,20,20,20,15,10,5,0,0,0,,,
2026,16,1.5,1,2,5,8,12,17,15,13,12,7,5,2,1,,,
2026,20,2,0,0,0,0,10,25,35,15,10,5,0,0,0,,,
2026,23,2.1,0,0,1,5,10,20,30,15,7,5,3,2,2,,,
2026,24,1.73470988,0,0,2,8,24,24,15,15,5,4,2,1,0,,,
2026,26,1.7,0,1,3,12,20,25,12,10,8,5,3,1,0,,,
2026,29,2,0.25,0.5,1.75,5.5,10,22.5,25,14.5,11,5,2,1.5,0.5,,,
2026,30,1.9,,,,,,,,,,,,,,,,
2026,32,1.8773976,0.57968652,1.42457213,3.68432197,7.66005418,12.80368329,17.20626791,18.5908268,16.15005665,11.27994979,6.33408705,2.85944961,1.03770182,0.3893423,,,
2026,33,2.2,0,0,0,5,8,13,16,17,15,12,9,5,0,,,
