Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-01-01,1,1.7,0.0,,,,,30.0,50.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,2,1.2,0.0,,,10.0,40.0,35.0,15.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,3,1.2,0.0,,,10.0,30.0,30.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,4,1.8,0.0,,,,,20.0,70.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,5,1.5,0.0,,,,10.0,70.0,20.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,6,1.3,0.0,,,,20.0,50.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,9,0.7,0.0,,,10.0,80.0,10.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,10,1.6,0.0,,,,20.0,50.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,11,1.6,0.0,,,,,20.0,80.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,14,1.7,0.0,,,,,20.0,80.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,16,2.0,0.0,,,5.0,10.0,15.0,20.0,20.0,15.0,10.0,,,,5.0,,,,,,,,,,,,,
1999-01-01,17,2.0,0.0,,,,5.0,15.0,30.0,30.0,15.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-01-01,18,1.2,5.0,,,10.0,25.0,40.0,10.0,5.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,19,1.2,0.0,,,,50.0,50.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,20,1.5,0.0,,,,,70.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,23,2.1,0.0,,,,,10.0,40.0,40.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,24,2.1,0.0,,,,5.0,20.0,30.0,30.0,10.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-01-01,26,1.6,0.0,,,,,30.0,60.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,28,1.0,0.0,,,,20.0,60.0,20.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,29,1.4,0.0,,,,20.0,40.0,40.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,31,1.9,0.0,,,,,20.0,50.0,30.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,32,1.8,0.0,,,5.0,15.0,20.0,40.0,15.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,33,2.0,0.0,,,,,,15.0,80.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,34,1.8,0.0,,,,,10.0,70.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,36,1.4,0.0,,,,10.0,50.0,30.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,37,2.1,0.0,,,,,,30.0,70.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,38,1.6,0.0,,,,,20.0,70.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,39,1.6,0.0,,,,5.0,30.0,50.0,10.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,40,1.4,0.0,,,,10.0,55.00000000000001,30.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,43,0.9,16.0,,,23.0,23.0,15.0,15.0,5.0,3.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,46,0.53,1.98019802,,,43.56435644,51.48514851,2.97029703,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,47,1.5,0.0,,,,20.0,25.0,35.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,50,1.3,0.0,,,,50.0,50.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,52,1.5,0.0,,,,10.0,40.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
