Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness
1999-01-01,1,1.7,1.7,0.1225,0.35,1.4166666666666667,1.7,1.95,-0.06249999999999979,0.3069703067574602,3,0.3901593961259963,0.3901593961259963
1999-01-01,2,1.2,1.025,0.186875,0.43229041164476456,0.6875,1.0,1.3571428571428572,0.06666666666666675,0.3076040525814914,4,0.47319189672114575,0.47319189672114575
1999-01-01,3,1.2,1.2,0.3225,0.5678908345800273,0.75,1.1666666666666667,1.625,0.04761904761904745,0.42328083664000976,5,0.5701991642222377,0.5701991642222377
1999-01-01,4,1.8,1.7,0.0725,0.2692582403567252,1.5357142857142858,1.7142857142857142,1.8928571428571428,6.217248937900879e-16,0.23615509896936537,3,0.3038276370677527,0.3038276370677527
1999-01-01,5,1.5,1.3,0.0725,0.2692582403567252,1.1071428571428572,1.2857142857142856,1.4642857142857144,1.243449787580175e-15,0.20651164331225833,3,0.3038276370677527,0.3038276370677527
1999-01-01,6,1.3,1.3,0.1225,0.35,1.05,1.3,1.5833333333333333,0.06249999999999979,0.2684377460965796,3,0.3901593961259963,0.3901593961259963
1999-01-01,9,0.7,0.75,0.05,0.22360679774997896,0.59375,0.75,0.90625,0.0,0.14907119849998599,3,0.2421439854598914,0.2421439854598914
1999-01-01,10,1.6,1.3,0.1225,0.35,1.05,1.3,1.5833333333333333,0.06249999999999979,0.2684377460965796,3,0.3901593961259963,0.3901593961259963
1999-01-01,11,1.6,1.65,0.04,0.2,1.53125,1.6875,1.84375,0.0,0.17213259316477408,2,0.18961407845245268,0.18961407845245268
1999-01-01,14,1.7,1.65,0.04,0.2,1.53125,1.6875,1.84375,0.0,0.17213259316477408,2,0.18961407845245268,0.18961407845245268
1999-01-01,16,2.0,2.2375,2.71546875,1.6478679407039873,1.3333333333333333,2.0,2.6666666666666665,-1.6653345369377348e-16,1.4813231186402858,8,0.7476159703894162,0.7476159703894162
1999-01-01,17,2.0,2.0,0.3625,0.6020797289396148,1.5833333333333333,2.0,2.4166666666666665,-2.664535259100376e-16,0.6020797289396148,6,0.6029019860848139,0.6029019860848139
1999-01-01,18,1.2,0.9875,1.18421875,1.0882181536805937,0.7,1.125,1.4375,-0.15254237288135597,0.7670930041518002,7,0.6149797219062879,0.6149797219062879
1999-01-01,19,1.2,1.0,0.0625,0.25,0.75,1.0,1.25,0.0,0.17677669529663687,2,0.26264953503719357,0.26264953503719357
1999-01-01,20,1.5,1.4,0.0525,0.229128784747792,1.1785714285714286,1.3571428571428572,1.5833333333333333,0.11764705882352902,0.18114220932736796,2,0.23147064491545163,0.23147064491545163
1999-01-01,23,2.1,2.0,0.1625,0.4031128874149275,1.6875,2.0,2.3125,0.0,0.4031128874149275,4,0.4522636134896463,0.4522636134896463
1999-01-01,24,2.1,1.925,0.356875,0.5973901572674261,1.5,1.9166666666666667,2.3333333333333335,0.0,0.5761742307549398,6,0.5964641177259571,0.5964641177259571
1999-01-01,26,1.6,1.65,0.09,0.3,1.4166666666666667,1.6666666666666667,1.875,-0.09090909090909109,0.2581988897471611,3,0.3402524510476205,0.3402524510476205
1999-01-01,28,1.0,1.25,0.1,0.31622776601683794,1.0416666666666667,1.25,1.4583333333333333,0.0,0.23904572186687872,3,0.3600795361924829,0.3600795361924829
1999-01-01,29,1.4,1.35,0.14,0.37416573867739417,1.0625,1.375,1.6875,0.0,0.2912876325017677,3,0.3997337064822076,0.3997337064822076
1999-01-01,31,1.9,1.8,0.1225,0.35,1.55,1.8,2.0833333333333335,0.06250000000000018,0.3195048252113469,3,0.3901593961259963,0.3901593961259963
1999-01-01,32,1.8,1.55,0.36,0.6,1.125,1.625,1.9375,-0.23076923076923078,0.4982728791224398,6,0.5900262493670999,0.5900262493670999
1999-01-01,33,2.0,2.2,0.0475,0.21794494717703367,2.0625,2.21875,2.375,0.0,0.19895560643855534,3,0.2322304428874602,0.2322304428874602
1999-01-01,34,1.8,1.8,0.0725,0.2692582403567252,1.6071428571428572,1.7857142857142856,1.9642857142857144,1.243449787580175e-15,0.24579802006254378,3,0.3038276370677527,0.3038276370677527
1999-01-01,36,1.4,1.45,0.16,0.4,1.15,1.4,1.75,0.1666666666666668,0.3212877315609996,4,0.44268930313343496,0.44268930313343496
1999-01-01,37,2.1,2.1,0.0525,0.229128784747792,1.9166666666666667,2.142857142857143,2.3214285714285716,-0.11764705882352841,0.21846572437632572,2,0.23147064491545163,0.23147064491545163
1999-01-01,38,1.6,1.7,0.0725,0.2692582403567252,1.5357142857142858,1.7142857142857142,1.8928571428571428,6.217248937900879e-16,0.23615509896936537,3,0.3038276370677527,0.3038276370677527
1999-01-01,39,1.6,1.65,0.19,0.43588989435406733,1.3333333333333333,1.65,1.9,-0.11764705882352938,0.3751542892474251,5,0.46895425663715434,0.46895425663715434
1999-01-01,40,1.4,1.4,0.1275,0.3570714214271425,1.1363636363636362,1.3636363636363638,1.6666666666666667,0.14285714285714227,0.28228974476590535,4,0.4054657330413037,0.4054657330413037
1999-01-01,43,0.9,0.395,2.601475,1.612908862893375,0.1956521739130435,0.7391304347826086,1.4333333333333333,0.12177985948477758,0.999323187469117,7,0.6795545160632637,0.6795545160632637
1999-01-01,46,0.53,0.4727722772,0.31794676994862636,0.5638676883353277,0.2642045454258523,0.5432692307290773,0.786057692290417,-0.0695142377886244,0.354694962210169,4,0.3356885108116913,0.3356885108116913
1999-01-01,47,1.5,1.525,0.261875,0.511737237261468,1.1,1.5714285714285714,1.9285714285714286,-0.1379310344827584,0.42135777301641886,4,0.5144967801916218,0.5144967801916218
1999-01-01,50,1.3,1.0,0.0625,0.25,0.75,1.0,1.25,0.0,0.17677669529663687,2,0.26264953503719357,0.26264953503719357
1999-01-01,52,1.5,1.5,0.1625,0.4031128874149275,1.1875,1.5,1.8125,0.0,0.3291402943021917,4,0.4522636134896463,0.4522636134896463
1999-01-01,53,1.6,1.75,0.05,0.22360679774997896,1.59375,1.75,1.90625,0.0,0.19999999999999998,3,0.2421439854598914,0.2421439854598914
1999-01-01,54,1.1,1.175,0.281875,0.5309190145398825,0.8,1.1666666666666667,1.4444444444444444,-0.13793103448275884,0.3930038864878063,5,0.5292335129679815,0.5292335129679815
1999-01-01,55,1.7,1.59990009976501,0.9016083821195324,0.9495306114704951,1.1298491377734194,1.6437728936560438,2.138681591991177,-0.0188485783422138,0.8024712056964209,9,0.6765543415311409,0.6765543415311409
1999-01-01,56,1.2,1.0,0.0625,0.25,0.75,1.0,1.25,0.0,0.17677669529663687,2,0.26264953503719357,0.26264953503719357
1999-01-01,59,1.6,1.8,0.0725,0.2692582403567252,1.6071428571428572,1.7857142857142856,1.9642857142857144,1.243449787580175e-15,0.24579802006254378,3,0.3038276370677527,0.3038276370677527
1999-01-01,60,1.8,1.6,0.1025,0.32015621187164245,1.3125,1.6,1.85,-0.06976744186046527,0.27058138464108306,3,0.35745657426341987,0.35745657426341987
1999-01-01,61,2.0,1.9,0.1025,0.32015621187164245,1.65,1.9,2.1875,0.06976744186046527,0.3052569707341966,3,0.3574565742634199,0.3574565742634199
1999-01-01,64,1.4,1.68,1.8076,1.3444701558606647,1.140625,1.5416666666666667,2.107142857142857,0.17013086989992293,1.1702110661730811,9,0.6853858060808656,0.6853858060808656
1999-01-01,65,1.4,1.5,0.0625,0.25,1.25,1.5,1.75,0.0,0.20412414523193154,2,0.26264953503719357,0.26264953503719357
1999-01-01,67,1.6,1.55,0.06,0.2449489742783178,1.3125,1.5833333333333333,1.7916666666666667,-0.13043478260869518,0.20341905108624309,2,0.25501972217760543,0.25501972217760543
1999-01-01,68,0.8,0.275,1.280625,1.1316470297756274,0.25,0.6,0.85,-0.16666666666666663,0.6855320039504843,4,0.44268930313343496,0.44268930313343496
1999-01-01,70,1.7,1.75,0.1,0.31622776601683794,1.5416666666666667,1.75,1.9583333333333333,0.0,0.282842712474619,3,0.3600795361924829,0.3600795361924829
1999-01-01,71,1.4,1.225,0.261875,0.511737237261468,0.875,1.25,1.6,-0.03448275862068953,0.3841031258237892,5,0.5361848613951298,0.5361848613951298
1999-01-01,85,0.8,1.05,0.395,0.6284902544988268,0.5517241379310345,0.9827586206896552,1.4615384615384617,0.05247813411078714,0.4500712194354385,6,0.5964038355949041,0.5964038355949041
1999-01-01,86,1.7,1.75,0.2,0.4472135954999579,1.5,1.75,2.0,0.0,0.39999999999999997,5,0.48878134178201676,0.48878134178201676
1999-01-01,88,1.8,1.775,0.211875,0.4602988159880492,1.5,1.7777777777777777,2.1,0.07407407407407454,0.4158836179431325,5,0.5029685594642622,0.5029685594642622
1999-01-01,89,1.4,1.35,0.09,0.3,1.125,1.3333333333333333,1.5833333333333333,0.09090909090909109,0.23354968324845687,3,0.34025245104762053,0.34025245104762053
1999-01-01,90,1.3,1.275,0.011875,0.10897247358851683,1.131578947368421,1.263157894736842,1.3947368421052633,8.437694987151184e-16,0.08297022339981068,2,0.07522202762257295,0.07522202762257295
1999-01-01,91,1.6,1.5799999999999996,1.44185,1.200770585915561,1.0513392857142858,1.6016597510373445,2.1629213483146073,0.00984284680575857,1.0076642912913316,9,0.715564369658973,0.715564369658973
1999-01-01,92,1.53,1.6748264815424825,0.6034786803586302,0.7768389024492982,1.091537886408846,1.6619409865971373,2.251944124302034,0.016890668867991357,0.6748303271038485,7,0.6925571885225534,0.6925571885225534
1999-01-01,94,1.5,1.6,0.0525,0.229128784747792,1.4166666666666667,1.6428571428571428,1.8214285714285714,-0.11764705882352902,0.19364916731037085,2,0.23147064491545163,0.23147064491545163
1999-01-01,95,1.1,0.8625,1.9129687499999994,1.383101135130761,0.5454545454545454,1.1041666666666667,1.6666666666666667,0.0033783783783782762,0.9460212155923761,8,0.6988155092813424,0.6988155092813424
